Airline,1Q,2Q,3Q,4Q,2024
Alaska,"83,934","106,033","118,372","98,236","406,575"
Allegiant,"90,754","101,292","90,031","89,385","371,461"
American,"334,743","394,435","389,782","382,369","1,501,329"
Breeze,"11,282","11,053","9,978","10,218","42,532"
Delta,"239,012","289,749","259,227","272,113","1,060,101"
Frontier,"203,624","233,695","212,662","211,643","861,624"
Hawaiian,"17,859","22,404","24,665","22,555","87,483"
JetBlue,"142,559","158,987","177,864","143,084","622,494"
Silver Airways,"2,823","3,219","3,382","3,117","12,540"
Southwest,"18,990","21,769","21,364","20,956","83,079"
Spirit,"237,006","232,366","181,430","123,925","774,727"
Sun Country,"31,651","27,737","26,052","25,469","110,909"
United,"300,800","346,431","352,933","334,933","1,335,096"
All,"1,715,037","1,949,169","1,867,742","1,738,003","7,269,950"
