Airline,1Q,2Q,3Q,4Q,2020
Alaska,"63,687","22,614","38,323","42,715","167,339"
Allegiant,"57,337","19,310","32,115","36,577","145,338"
American,"274,371","62,529","147,069","183,150","667,120"
Delta,"203,528","27,477","88,112","121,875","440,992"
Eastern,0,130,305,767,"1,202"
Frontier,"109,801","17,308","48,433","56,307","231,849"
Hawaiian,"17,277","1,451","2,569","4,729","26,026"
JetBlue,"91,643","6,866","40,875","67,782","207,167"
Silver Airways,"2,250",288,699,"1,157","4,393"
Southwest,"11,588","4,739","8,837","8,895","34,059"
Spirit,"175,074","20,194","99,720","122,695","417,684"
Sun Country,"18,655","2,418","6,806","8,384","36,263"
United,"200,642","35,925","87,439","138,117","462,124"
All,"1,225,854","221,249","601,303","793,150","2,841,556"
