Airline,1Q,2Q,3Q,4Q,2021
Alaska,"39,761","62,587","71,000","68,825","242,173"
Allegiant,"41,330","67,959","68,888","67,950","246,127"
American,"188,641","331,662","348,042","355,943","1,224,287"
Breeze,0,0,"1,409","2,065","3,473"
Delta,"134,047","225,877","266,130","247,016","873,070"
Eastern,277,417,578,784,"2,056"
Frontier,"67,692","125,098","132,930","137,668","463,388"
Hawaiian,"7,585","18,617","21,454","18,691","66,347"
JetBlue,"78,860","124,268","170,545","153,529","527,203"
Silver Airways,"1,444","2,517","2,346","2,228","8,536"
Southwest,"9,965","15,450","16,906","15,360","57,681"
Spirit,"118,274","184,480","177,519","184,765","665,038"
Sun Country,"12,406","15,876","17,754","15,518","61,555"
United,"133,986","207,016","267,721","260,903","869,626"
All,"834,269","1,381,824","1,563,222","1,531,245","5,310,560"
