Airline,1Q,2Q,3Q,4Q,2023
Alaska,"74,482","97,943","101,337","84,549","358,311"
Allegiant,"88,685","96,696","86,787","85,386","357,554"
American,"325,296","352,279","342,047","337,299","1,356,921"
Breeze,"6,068","10,288","11,068","11,691","39,114"
Delta,"226,255","253,222","259,462","246,286","985,225"
Eastern,1,1,0,0,2
Frontier,"221,438","231,463","211,176","215,842","879,918"
Hawaiian,"18,985","20,185","19,895","17,476","76,542"
JetBlue,"148,043","161,298","168,276","146,369","623,987"
Silver Airways,"2,986","3,474","3,345","2,997","12,802"
Southwest,"15,681","18,919","19,747","19,093","73,440"
Spirit,"256,701","263,467","233,974","233,497","987,640"
Sun Country,"26,786","24,803","25,796","24,898","102,283"
United,"284,126","311,057","326,473","296,843","1,218,499"
All,"1,695,534","1,845,094","1,809,383","1,722,226","7,072,236"
