,unique_id,ds,y,jetfuel_cost,unemployment_rate,GDP
0,Alaska,2016-09-30,23686.0,163.03333333333333,5.533333333333334,58121
1,Alaska,2016-12-31,30215.0,176.1,5.433333333333334,58376
2,Alaska,2017-03-31,34127.0,144.43333333333334,5.1000000000000005,58486
3,Alaska,2017-06-30,24787.0,126.63333333333333,5.033333333333333,58470
4,Alaska,2017-09-30,30484.0,99.06666666666666,4.8999999999999995,58704
5,Alaska,2017-12-31,35022.0,127.59999999999998,4.933333333333334,58787
6,Alaska,2018-03-31,39297.0,129.53333333333333,4.8999999999999995,59084
7,Alaska,2018-06-30,30811.0,143.46666666666667,4.766666666666667,59296
8,Alaska,2018-09-30,30602.0,150.20000000000002,4.566666666666666,59494
9,Alaska,2018-12-31,38232.0,140.56666666666666,4.366666666666667,59736
10,Alaska,2019-03-31,42114.0,159.26666666666665,4.333333333333333,60099
11,Alaska,2019-06-30,36295.0,174.53333333333333,4.166666666666667,60674
12,Alaska,2019-09-30,48800.0,188.63333333333333,4.033333333333333,61093
13,Alaska,2019-12-31,77881.0,208.66666666666666,3.9333333333333336,61336
14,Alaska,2020-03-31,83804.0,213.5,3.766666666666667,61622
15,Alaska,2020-06-30,69182.0,196.33333333333334,3.8333333333333335,61619
16,Alaska,2020-09-30,69691.0,186.66666666666666,3.8666666666666667,61939
17,Alaska,2020-12-31,85531.0,192.19999999999996,3.6333333333333333,62385
18,Alaska,2021-03-31,94289.0,186.23333333333335,3.6,63022
19,Alaska,2021-06-30,78140.0,185.9333333333333,3.6,63360
20,Alaska,2021-07-01,71000.0,190.23333333333335,5.066666666666666,64990
21,Alaska,2021-10-01,68825.0,219.46666666666667,4.2,66010
22,Alaska,2022-01-01,64370.0,287.43333333333334,3.8333333333333335,65770
23,Alaska,2022-04-01,88321.0,397.8666666666666,3.6333333333333333,65774
24,Alaska,2022-07-01,92981.0,335.96666666666664,3.533333333333333,66115
25,Alaska,2022-10-01,80917.0,325.73333333333335,3.5666666666666664,66427
26,Alaska,2023-01-01,74482.0,300.3666666666666,3.533333333333333,66781
27,Alaska,2023-04-01,97943.0,226.5666666666667,3.533333333333333,67067
28,Alaska,2023-07-01,101337.0,248.8,3.6666666666666665,67677
29,Allegiant,2016-09-30,40444.0,163.03333333333333,5.533333333333334,58121
30,Allegiant,2016-12-31,42463.0,176.1,5.433333333333334,58376
31,Allegiant,2017-03-31,39934.0,144.43333333333334,5.1000000000000005,58486
32,Allegiant,2017-06-30,38523.0,126.63333333333333,5.033333333333333,58470
33,Allegiant,2017-09-30,43759.0,99.06666666666666,4.8999999999999995,58704
34,Allegiant,2017-12-31,45934.0,127.59999999999998,4.933333333333334,58787
35,Allegiant,2018-03-31,45168.0,129.53333333333333,4.8999999999999995,59084
36,Allegiant,2018-06-30,42468.0,143.46666666666667,4.766666666666667,59296
37,Allegiant,2018-09-30,46556.0,150.20000000000002,4.566666666666666,59494
38,Allegiant,2018-12-31,51253.0,140.56666666666666,4.366666666666667,59736
39,Allegiant,2019-03-31,46317.0,159.26666666666665,4.333333333333333,60099
40,Allegiant,2019-06-30,48457.0,174.53333333333333,4.166666666666667,60674
41,Allegiant,2019-09-30,56568.0,188.63333333333333,4.033333333333333,61093
42,Allegiant,2019-12-31,59751.0,208.66666666666666,3.9333333333333336,61336
43,Allegiant,2020-03-31,52919.0,213.5,3.766666666666667,61622
44,Allegiant,2020-06-30,50322.0,196.33333333333334,3.8333333333333335,61619
45,Allegiant,2020-09-30,63660.0,186.66666666666666,3.8666666666666667,61939
46,Allegiant,2020-12-31,73926.0,192.19999999999996,3.6333333333333333,62385
47,Allegiant,2021-03-31,64957.0,186.23333333333335,3.6,63022
48,Allegiant,2021-06-30,62551.0,185.9333333333333,3.6,63360
49,Allegiant,2021-07-01,68888.0,190.23333333333335,5.066666666666666,64990
50,Allegiant,2021-10-01,67950.0,219.46666666666667,4.2,66010
51,Allegiant,2022-01-01,73649.0,287.43333333333334,3.8333333333333335,65770
52,Allegiant,2022-04-01,93183.0,397.8666666666666,3.6333333333333333,65774
53,Allegiant,2022-07-01,83634.0,335.96666666666664,3.533333333333333,66115
54,Allegiant,2022-10-01,80586.0,325.73333333333335,3.5666666666666664,66427
55,Allegiant,2023-01-01,88685.0,300.3666666666666,3.533333333333333,66781
56,Allegiant,2023-04-01,96696.0,226.5666666666667,3.533333333333333,67067
57,Allegiant,2023-07-01,86787.0,248.8,3.6666666666666665,67677
58,American,2016-09-30,151758.0,163.03333333333333,5.533333333333334,58121
59,American,2016-12-31,165660.0,176.1,5.433333333333334,58376
60,American,2017-03-31,292089.0,144.43333333333334,5.1000000000000005,58486
61,American,2017-06-30,267293.0,126.63333333333333,5.033333333333333,58470
62,American,2017-09-30,262464.0,99.06666666666666,4.8999999999999995,58704
63,American,2017-12-31,288836.0,127.59999999999998,4.933333333333334,58787
64,American,2018-03-31,288124.0,129.53333333333333,4.8999999999999995,59084
65,American,2018-06-30,278048.0,143.46666666666667,4.766666666666667,59296
66,American,2018-09-30,272805.0,150.20000000000002,4.566666666666666,59494
67,American,2018-12-31,301971.0,140.56666666666666,4.366666666666667,59736
68,American,2019-03-31,299428.0,159.26666666666665,4.333333333333333,60099
69,American,2019-06-30,298524.0,174.53333333333333,4.166666666666667,60674
70,American,2019-09-30,289278.0,188.63333333333333,4.033333333333333,61093
71,American,2019-12-31,313340.0,208.66666666666666,3.9333333333333336,61336
72,American,2020-03-31,309190.0,213.5,3.766666666666667,61622
73,American,2020-06-30,309653.0,196.33333333333334,3.8333333333333335,61619
74,American,2020-09-30,317297.0,186.66666666666666,3.8666666666666667,61939
75,American,2020-12-31,350554.0,192.19999999999996,3.6333333333333333,62385
76,American,2021-03-31,342127.0,186.23333333333335,3.6,63022
